run_id,timestamp,result_index,speed_ratio,control_api,pair_type,direction,target_value,target_unit,group_index,status,error,duration_s,imu_sample_count,start_x_m,start_y_m,start_z_m,start_yaw_deg,end_x_m,end_y_m,end_z_m,end_yaw_deg,delta_x_m,delta_y_m,delta_z_m,expected_distance_m,actual_distance_m,distance_error_m,abs_distance_error_m,lateral_error_m,vertical_error_m,yaw_drift_deg,expected_angle_deg,actual_angle_deg,angle_error_deg,abs_angle_error_deg,position_drift_m
20260806_143623_657877,2026-08-06T14:36:26.848,1,100,line_walk,前后移动,前进,1.0,m,1,success,,3.182287,24,3.462303,-0.938516,0.14611,-57.768668,3.77406,-1.419737,0.11081,-59.072537,0.311758,-0.481221,-0.0353,1.0,0.573338,-0.426662,0.426662,0.007062,-0.0353,-1.303869,,,,,0.573382
20260806_143623_657877,2026-08-06T14:36:30.141,2,100,line_walk,前后移动,后退,1.0,m,1,success,,3.288896,26,3.773947,-1.419548,0.110793,-59.062299,3.400899,-0.829716,0.156502,-62.692927,-0.373049,0.589832,0.045708,1.0,0.697701,-0.302299,0.302299,0.016738,0.045708,-3.630628,,,,,0.697902
20260806_143623_657877,2026-08-06T14:36:33.505,3,100,line_walk,前后移动,前进,1.0,m,2,success,,3.363693,26,3.400895,-0.830049,0.156689,-62.710139,3.661113,-1.371921,0.128162,-63.994877,0.260218,-0.541872,-0.028527,1.0,0.600869,-0.399131,0.399131,-0.017189,-0.028527,-1.284738,,,,,0.601115
20260806_143623_657877,2026-08-06T14:36:36.778,4,100,line_walk,前后移动,后退,1.0,m,2,success,,3.269237,23,3.661098,-1.371913,0.12816,-63.991633,3.348236,-0.75012,0.176191,-67.647273,-0.312862,0.621793,0.04803,1.0,0.696015,-0.303985,0.303985,0.008521,0.04803,-3.65564,,,,,0.696067
20260806_143623_657877,2026-08-06T14:36:40.074,5,100,line_walk,前后移动,前进,1.0,m,3,success,,3.294105,25,3.348258,-0.750228,0.17625,-67.649595,3.545509,-1.280686,0.1498,-70.700156,0.197251,-0.530458,-0.02645,1.0,0.565616,-0.434384,0.434384,-0.019285,-0.02645,-3.050561,,,,,0.565945
20260806_143623_657877,2026-08-06T14:36:43.334,6,100,line_walk,前后移动,后退,1.0,m,3,success,,3.256398,28,3.545499,-1.280717,0.149836,-70.696679,3.285419,-0.602646,0.180006,-73.268457,-0.26008,0.678071,0.03017,1.0,0.725925,-0.274075,0.274075,0.02131,0.03017,-2.571778,,,,,0.726238
20260806_143623_657877,2026-08-06T14:36:46.513,7,100,line_walk,前后移动,前进,1.0,m,4,success,,3.176924,25,3.285368,-0.602419,0.179985,-73.275451,3.45721,-1.185316,0.17724,-75.589546,0.171841,-0.582897,-0.002745,1.0,0.607691,-0.392309,0.392309,-0.003169,-0.002745,-2.314095,,,,,0.607699
20260806_143623_657877,2026-08-06T14:36:49.785,8,100,line_walk,前后移动,后退,1.0,m,4,success,,3.269918,26,3.457182,-1.185275,0.177235,-75.589389,3.259823,-0.514276,0.216121,-77.646164,-0.197359,0.670999,0.038886,1.0,0.699004,-0.300996,0.300996,0.024158,0.038886,-2.056775,,,,,0.699421
20260806_143623_657877,2026-08-06T14:36:52.867,9,100,line_walk,前后移动,前进,1.0,m,5,success,,3.079244,22,3.259793,-0.514354,0.216138,-77.646164,3.345319,-1.074154,0.208331,-82.476187,0.085527,-0.559801,-0.007807,1.0,0.565137,-0.434863,0.434863,-0.036222,-0.007807,-4.830023,,,,,0.566296
20260806_143623_657877,2026-08-06T14:36:56.120,10,100,line_walk,前后移动,后退,1.0,m,5,success,,3.249125,23,3.345276,-1.07395,0.208356,-82.490817,3.245003,-0.398839,0.245678,-86.109493,-0.100274,0.675111,0.037322,1.0,0.682425,-0.317575,0.317575,0.011187,0.037322,-3.618675,,,,,0.682517
20260806_143623_657877,2026-08-06T14:36:59.326,11,100,line_walk,前后移动,前进,1.0,m,6,success,,3.201789,24,3.24467,-0.400294,0.246482,-86.123693,3.262055,-0.970656,0.222937,-86.104227,0.017385,-0.570361,-0.023545,1.0,0.570232,-0.429768,0.429768,-0.021213,-0.023545,0.019466,,,,,0.570626
20260806_143623_657877,2026-08-06T14:37:02.579,12,100,line_walk,前后移动,后退,1.0,m,6,success,,3.251469,24,3.26205,-0.970577,0.222961,-86.099439,3.19292,-0.272605,0.271883,-88.83551,-0.06913,0.697971,0.048922,1.0,0.701057,-0.298943,0.298943,0.021491,0.048922,-2.736071,,,,,0.701386
20260806_143623_657877,2026-08-06T14:37:05.760,13,100,line_walk,前后移动,前进,1.0,m,7,success,,3.174749,23,3.192816,-0.272673,0.271917,-88.828092,3.193357,-0.86633,0.244668,-91.236622,0.00054,-0.593657,-0.027249,1.0,0.593544,-0.406456,0.406456,-0.011601,-0.027249,-2.40853,,,,,0.593657
20260806_143623_657877,2026-08-06T14:37:09.032,14,100,line_walk,前后移动,后退,1.0,m,7,success,,3.268382,25,3.193429,-0.866379,0.244665,-91.234347,3.196624,-0.1663,0.289183,-94.429571,0.003195,0.700079,0.044518,1.0,0.699985,-0.300015,0.300015,0.011887,0.044518,-3.195224,,,,,0.700086
20260806_143623_657877,2026-08-06T14:37:12.423,15,100,line_walk,前后移动,前进,1.0,m,8,success,,3.388733,27,3.196631,-0.166384,0.2892,-94.414579,3.141432,-0.776561,0.267594,-95.243074,-0.055199,-0.610177,-0.021605,1.0,0.612615,-0.387385,0.387385,-0.008068,-0.021605,-0.828495,,,,,0.612668
20260806_143623_657877,2026-08-06T14:37:15.587,16,100,line_walk,前后移动,后退,1.0,m,8,success,,3.161267,24,3.141416,-0.776513,0.267586,-95.236415,3.193426,-0.069255,0.30853,-98.718008,0.05201,0.707258,0.040944,1.0,0.709053,-0.290947,0.290947,0.012755,0.040944,-3.481593,,,,,0.709168
20260806_143623_657877,2026-08-06T14:37:18.764,17,100,line_walk,前后移动,前进,1.0,m,9,success,,3.174099,23,3.193402,-0.069336,0.30857,-98.716307,3.090124,-0.680855,0.287523,-100.473121,-0.103279,-0.611519,-0.021048,1.0,0.620108,-0.379892,0.379892,-0.009415,-0.021048,-1.756813,,,,,0.620179
20260806_143623_657877,2026-08-06T14:37:22.036,18,100,line_walk,前后移动,后退,1.0,m,9,success,,3.269371,25,3.090096,-0.680912,0.287514,-100.472547,3.204284,0.012656,0.32767,-103.893256,0.114188,0.693568,0.040156,1.0,0.70277,-0.29723,0.29723,0.01378,0.040156,-3.420709,,,,,0.702905
20260806_143623_657877,2026-08-06T14:37:25.213,19,100,line_walk,前后移动,前进,1.0,m,10,success,,3.173796,26,3.204247,0.012637,0.327672,-103.89383,3.047834,-0.577522,0.309694,-105.649653,-0.156413,-0.590159,-0.017978,1.0,0.610451,-0.389549,0.389549,-0.010125,-0.017978,-1.755823,,,,,0.610535
20260806_143623_657877,2026-08-06T14:37:26.154,20,100,line_walk,前后移动,后退,1.0,m,10,success,,0.937972,8,3.04784,-0.577486,0.309711,-105.649653,3.062676,-0.530119,0.315842,-101.313678,0.014836,0.047367,0.006131,1.0,0.049613,-0.950387,0.950387,-0.001509,0.006131,4.335975,,,,,0.049636
20260806_143623_657877,2026-08-06T14:37:27.087,21,100,line_walk,前后移动,前进,1.0,m,11,success,,0.93031,8,3.062345,-0.53167,0.315862,-101.343103,3.008838,-0.713621,0.311728,-99.394655,-0.053507,-0.181951,-0.004133,1.0,0.188921,-0.811079,0.811079,-0.016675,-0.004133,1.948448,,,,,0.189655
20260806_143623_657877,2026-08-06T14:37:30.234,22,100,line_walk,前后移动,后退,1.0,m,11,success,,3.143436,24,3.009317,-0.710596,0.311726,-99.286061,3.10505,0.080026,0.358777,-101.815642,0.095732,0.790623,0.047051,1.0,0.795709,-0.204291,0.204291,0.0331,0.047051,-2.529581,,,,,0.796397
